ID,predict
53608,0.83
51055,0.86
52573,0.07
50458,0.13
52272,0.27
52072,0.84
50973,0.4
50553,0.06
53135,0.27
53835,0.33
51843,0.04
54145,0.32
53878,0.2
54216,0.28
51728,0.26
52863,0.11
50760,0.48
50823,0.37
53928,0.77
52683,0.67
50200,0.25
52984,0.05
50747,0.21
54128,0.12
52001,0.87
50276,0.41
52651,0.71
53535,0.09
52387,0.31
52884,0.93
53205,0.22
52873,0.32
52376,0.49
51950,0.5
51650,0.85
53901,0.11
51919,0.28
50065,0.02
52885,0.43
51413,0.14
52768,0.37
51375,0.2
54157,0.23
53328,0.11
53362,0.08
52202,0.06
50640,0.18
52298,0.53
53477,0.08
50078,0.21
51998,0.26
52336,0.12
52654,0.16
53341,0.17
53868,0.68
52945,0.15
52411,0.13
52222,0.17
51813,0.05
50175,0.31
51744,0.15
53521,0.83
51261,0.03
51619,0.01
51479,0.23
52020,0.14
53306,0.07
53013,0.64
50117,0.11
51992,0.44
54233,0.93
51709,0.77
50930,0.12
50637,0.18
52333,0.38
51627,0.18
53524,0.12
50167,0.05
50330,0.68
53678,0.06
53581,0.78
50243,0.24
50237,0.07
53032,0.76
50235,0.12
50012,0.21
53264,0.48
50729,0.23
53195,0.16
50069,0.71
52091,0.37
50697,0.09
51477,0.13
52262,0.55
53822,0.08
53533,0.85
52983,0.47
50777,0.28
53630,0.18
52743,0.21
52584,0.65
51428,0.24
54194,0.04
52849,0.59
52839,0.7
52867,0.01
53043,0.4
52266,0.14
52478,0.38
51336,0.93
52840,0.28
51997,0.13
53976,0.29
50670,0.19
50370,0.29
50921,0.13
50983,0.25
51456,0.38
53104,0.61
50594,0.38
52201,0.17
52992,0.05
50240,0.26
50014,0.2
52583,0.19
52625,0.17
51357,0.44
50080,0.15
50521,0.07
51886,0.23
52367,0.07
52917,0.07
53378,0.11
50779,0.11
52352,0.21
50021,0.44
50726,0.21
52679,0.04
50389,0.24
50905,0.05
50409,0.34
52473,0.19
52089,0.1
50522,0.1
50603,0.67
53796,0.34
53167,0.05
53351,0.06
53680,0.87
53273,0.66
52913,0.12
50098,0.11
53479,0.13
50804,0.24
50074,0.72
53635,0.0
50189,0.75
53138,0.47
53786,0.56
50268,0.1
53688,0.43
51962,0.14
53639,0.22
53792,0.31
52631,0.53
50129,0.28
52712,0.2
50432,0.57
53221,0.25
53474,0.44
54232,0.41
50151,0.2
52516,0.77
53019,0.03
52510,0.6
50252,0.01
53354,0.42
50448,0.91
52796,0.05
50641,0.26
52189,0.2
53588,0.77
53324,0.33
51809,0.44
50258,0.71
54271,0.21
52785,0.26
50026,0.42
51529,0.13
51636,0.37
52050,0.27
52419,0.22
53228,0.67
52425,0.14
53470,0.14
52139,0.14
50471,0.31
52374,0.85
50136,0.1
51736,0.27
52638,0.09
51458,0.1
51027,0.28
51870,0.79
50960,0.75
52212,0.1
53337,0.11
51421,0.19
51740,0.07
52988,0.46
51551,0.1
51574,0.6
52285,0.13
51984,0.95
52735,0.85
52037,0.06
51522,0.81
52383,0.49
53724,0.56
52435,0.12
51506,0.18
53863,0.77
53212,0.22
50955,0.46
51646,0.14
50769,0.13
50675,0.33
54180,0.13
50174,0.75
52475,0.15
52472,0.23
52312,0.02
51007,0.1
52287,0.46
52334,0.09
50354,0.12
52462,0.02
52731,0.01
53106,0.09
52469,0.84
53076,0.46
50177,0.33
50028,0.63
51856,0.3
53294,0.51
50394,0.64
50791,0.28
51325,0.15
52366,0.5
50372,0.31
51474,0.1
54117,0.11
50413,0.66
51471,0.13
52079,0.06
51553,0.69
52207,0.1
53764,0.07
50806,0.18
52853,0.26
53938,0.66
50353,0.27
52097,0.04
52780,0.81
50390,0.2
53988,0.19
53910,0.96
52128,0.95
53569,0.15
53007,0.08
54039,0.39
52755,0.15
52545,0.45
50342,0.19
52793,0.62
52238,0.08
50782,0.93
51376,0.85
51520,0.06
53075,0.12
51600,0.5
53834,0.16
53964,0.19
51767,0.05
51481,0.06
52998,0.36
52217,0.7
53890,0.02
54196,0.04
53749,0.13
52076,0.67
54197,0.03
52307,0.42
53787,0.33
53805,0.33
51806,0.31
52795,0.69
50256,0.13
51457,0.43
53506,0.09
52765,0.05
52461,0.11
53081,0.05
54086,0.02
52554,0.11
51764,0.2
53689,0.33
53653,0.73
53401,0.23
53402,0.33
50395,0.26
50326,0.15
51830,0.1
52574,0.13
53670,0.33
52802,0.1
51045,0.1
51836,0.42
50694,0.13
52152,0.02
52778,0.04
53770,0.31
50455,0.94
54001,0.09
53067,0.73
52400,0.82
53799,0.33
50962,0.1
50657,0.21
50171,0.36
50035,0.09
52200,0.09
51700,0.31
53259,0.37
51955,0.09
52414,0.28
54195,0.03
54276,0.15
54079,0.13
52979,0.04
52621,0.03
54256,0.04
50901,0.21
50862,0.17
52528,0.71
53016,0.22
50083,0.14
50128,0.06
51496,0.38
51860,0.75
53311,0.2
54125,0.13
50503,0.81
54142,0.26
51849,0.59
50757,0.43
53726,0.0
53211,0.09
51148,0.14
50677,0.1
52512,0.17
